latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
48.47898,38.77746,303.22,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.32,0.82,N
48.46762,38.75695,303.91,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.57,0.88,N
48.46689,38.76244,303.54,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,284.93,0.88,N
48.46799,38.76213,308.21,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.11,0.75,N
48.46534,38.75564,329.9,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.72,5.84,N
48.46238,38.77752,320.31,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,289.08,7.19,N
48.4646,38.76112,306.39,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,284.62,0.75,N
48.46312,38.77208,302.16,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,283.14,7.19,N
48.459,38.77651,327.96,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,284.12,4.22,N
48.46196,38.75462,307.23,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.56,1.34,N
48.45974,38.77106,299.23,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,283.09,4.22,N
48.33318,37.83968,298.67,0.43,0.38,2022-09-01,2320,N,VIIRS,n,2.0NRT,283.68,0.64,N
48.32972,37.83868,295.69,0.43,0.38,2022-09-01,2320,N,VIIRS,n,2.0NRT,282.73,0.57,N
48.22184,38.23671,298.17,0.42,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.39,0.85,N
48.22058,38.2189,297.83,0.42,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.34,0.64,N
48.21986,38.22449,303.01,0.42,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.01,1.31,N
48.49855,35.09923,307.78,0.52,0.42,2022-09-01,2320,N,VIIRS,n,2.0NRT,281.92,1.37,N
48.09965,37.92004,303.61,0.42,0.38,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.33,0.9,N
48.09893,37.92569,304.81,0.42,0.38,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.1,0.9,N
48.05944,37.95528,319.95,0.42,0.38,2022-09-01,2320,N,VIIRS,n,2.0NRT,287.15,1.85,N
47.8321,38.47329,302.89,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.85,1.08,N
47.85601,37.51086,296.25,0.43,0.38,2022-09-01,2320,N,VIIRS,n,2.0NRT,282.28,0.47,N
47.66027,38.24427,309.48,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,284.63,1.21,N
47.65759,38.23782,295.86,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,284.51,0.47,N
47.87631,33.41338,308.89,0.4,0.44,2022-09-01,2320,N,VIIRS,n,2.0NRT,288.27,1.78,N
47.87445,33.43509,297.61,0.4,0.44,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.71,0.57,N
47.87381,33.41585,304.6,0.4,0.44,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.97,1.55,N
47.87185,33.43753,302.21,0.4,0.44,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.03,1.3,N
47.86725,33.44216,298,0.4,0.44,2022-09-01,2320,N,VIIRS,n,2.0NRT,284.12,0.55,N
47.20188,38.08996,299.33,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.19,0.59,N
47.19919,38.08357,308.26,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.26,1.29,N
47.19096,38.09241,316.49,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.32,1.49,N
47.18755,38.09142,316.69,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.24,1.53,N
47.50381,34.38943,332.08,0.54,0.42,2022-09-01,2320,N,VIIRS,n,2.0NRT,295.02,30.62,N
47.50309,34.39669,306.34,0.54,0.42,2022-09-01,2320,N,VIIRS,n,2.0NRT,288.67,7.18,N
47.31516,33.65291,304.39,0.39,0.44,2022-09-01,2320,N,VIIRS,n,2.0NRT,283.3,0.63,N
46.87217,35.29772,332.53,0.49,0.41,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.81,4.44,N
46.94674,33.08907,295.7,0.4,0.45,2022-09-01,2320,N,VIIRS,n,2.0NRT,282.96,0.51,N
46.57092,34.6086,295.3,0.52,0.42,2022-09-01,2320,N,VIIRS,n,2.0NRT,284.75,0.34,N
46.3081,35.02786,296.27,0.5,0.41,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.83,0.51,N
46.5969,30.24914,295.22,0.54,0.51,2022-09-01,2320,N,VIIRS,n,2.0NRT,282.45,0.42,N
45.31062,36.36173,310.86,0.44,0.38,2022-09-01,2320,N,VIIRS,n,2.0NRT,289.8,1.15,N
45.30711,36.36083,306.94,0.44,0.38,2022-09-01,2320,N,VIIRS,n,2.0NRT,289.79,0.66,N
51.41754,30.16059,338.64,0.58,0.52,2022-09-02,0100,N,VIIRS,n,2.0NRT,281.48,5.66,N
48.46244,38.7787,334.03,0.78,0.78,2022-09-02,0100,N,VIIRS,n,2.0NRT,281,6.75,N
51.46408,29.88121,295.05,0.56,0.52,2022-09-02,0100,N,VIIRS,n,2.0NRT,275.74,0.65,N
48.46645,38.76866,309.5,0.78,0.78,2022-09-02,0100,N,VIIRS,n,2.0NRT,280.43,8.03,N
48.46405,38.75322,297.25,0.78,0.78,2022-09-02,0100,N,VIIRS,n,2.0NRT,282.71,3.78,N
48.45631,38.77261,315.58,0.78,0.78,2022-09-02,0100,N,VIIRS,n,2.0NRT,280.41,3.28,N
51.46355,29.88342,301.99,0.56,0.52,2022-09-02,0100,N,VIIRS,n,2.0NRT,276.62,1.3,N
48.46282,38.77312,367,0.78,0.78,2022-09-02,0100,N,VIIRS,h,2.0NRT,281.72,11.09,N
51.46957,29.55677,314,0.54,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,282.64,3.42,N
51.46492,29.53589,302.5,0.54,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,279.28,2.14,N
51.39795,29.52588,318.52,0.55,0.51,2022-09-02,0100,N,VIIRS,n,2.0NRT,283.69,1.96,N
